date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:48:19	335/335	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jun%202021%2022:48:18%20GMT	http://localhost/wordpress	C:/My%20Web%20Sites/oldds/localhost/wordpress.0.delayed	(from )
00:48:19	296/296	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Jun%202021%2022:48:19%20GMT	http://localhost/robots.txt		(from )
00:48:24	154723/154723	---MC-	200	added ('OK')	text/html	date:Wed,%2002%20Jun%202021%2022:48:19%20GMT	http://localhost/wordpress/	C:/My%20Web%20Sites/oldds/localhost/wordpress/index.html	(from )
00:48:24	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2002%20Jun%202021%2022:48:24%20GMT	http://localhost/wordpress/xmlrpc.php	C:/My%20Web%20Sites/oldds/localhost/wordpress/xmlrpc.1.delayed	(from http://localhost/wordpress/)
00:48:24	15012/15012	---M--	200	added ('OK')	text/css	etag:%223aa4-59c41c16544c0%22	http://localhost/wordpress/wp-content/plugins/instagram-feed/css/sb-instagram-2-1.min.css?ver=2.1.5	C:/My%20Web%20Sites/oldds/localhost/wordpress/wp-content/plugins/instagram-feed/css/sb-instagram-2-1.mind63f.css	(from http://localhost/wordpress/)
00:48:25	28937/28937	---M--	200	added ('OK')	text/css	etag:%227109-5a45a34c6a9c0%22	http://localhost/wordpress/wp-content/plugins/user-registration/assets/css/user-registration.css?ver=1.8.3	C:/My%20Web%20Sites/oldds/localhost/wordpress/wp-content/plugins/user-registration/assets/css/user-registration4511.css	(from http://localhost/wordpress/)
00:48:26	732/732	---M--	200	added ('OK')	text/css	etag:%222dc-5a45a34c6a9c0%22	http://localhost/wordpress/wp-content/plugins/user-registration/assets/css/user-registration-smallscreen.css?ver=1.8.3	C:/My%20Web%20Sites/oldds/localhost/wordpress/wp-content/plugins/user-registration/assets/css/user-registration-smallscreen4511.css	(from http://localhost/wordpress/)
00:48:26	3366/3366	---M--	200	added ('OK')	text/css	etag:%22d26-5a45a34c6a9c0%22	http://localhost/wordpress/wp-content/plugins/user-registration/assets/css/my-account-layout.css?ver=1.8.3	C:/My%20Web%20Sites/oldds/localhost/wordpress/wp-content/plugins/user-registration/assets/css/my-account-layout4511.css	(from http://localhost/wordpress/)
00:48:26	709/709	---M--	200	added ('OK')	application/rss+xml	etag:%2204718e2c1e24aa7438609840fa73d733%22	http://localhost/wordpress/comments/feed/	C:/My%20Web%20Sites/oldds/localhost/wordpress/comments/feed/index.html	(from http://localhost/wordpress/)
00:48:26	1026/1026	---M--	200	added ('OK')	application/rss+xml	etag:%22095aa8ad17c84867c4c51e18135f59fa%22	http://localhost/wordpress/feed/	C:/My%20Web%20Sites/oldds/localhost/wordpress/feed/index.html	(from http://localhost/wordpress/)
